raceId,driverId,stop,lap,time,duration,milliseconds
1098,842,1,9,18:18:56,25.885,25885
1098,846,1,10,18:20:31,32.766,32766
1098,852,1,10,18:20:34,25.267,25267
1098,822,1,11,18:22:06,25.399,25399
1098,848,1,11,18:22:12,25.054,25054
1098,807,1,11,18:22:21,26.075,26075
1098,856,1,11,18:22:21,25.018,25018
1098,1,1,12,18:23:40,24.682,24682
1098,839,1,12,18:23:50,24.966,24966
1098,858,1,12,18:23:55,25.600,25600
1098,855,1,12,18:24:01,25.787,25787
1098,844,1,13,18:25:06,24.345,24345
1098,832,1,13,18:25:17,24.500,24500
1098,847,1,13,18:25:24,27.062,27062
1098,830,1,14,18:26:35,24.289,24289
1098,4,1,14,18:27:02,25.800,25800
1098,840,1,15,18:28:45,25.449,25449
1098,825,1,15,18:29:10,25.439,25439
1098,839,2,15,18:29:11,41.462,41462
1098,815,1,17,18:31:42,24.264,24264
1098,846,2,17,18:32:38,33.661,33661
1098,842,2,25,18:45:48,24.879,24879
1098,848,2,26,18:47:25,24.920,24920
1098,852,2,26,18:47:26,24.372,24372
1098,807,2,26,18:47:41,37.769,37769
1098,856,2,27,18:49:16,25.234,25234
1098,846,3,27,18:49:35,33.467,33467
1098,822,2,29,18:52:16,25.643,25643
1098,825,2,29,18:52:40,25.344,25344
1098,1,2,30,18:53:36,24.690,24690
1098,840,2,30,18:53:45,24.639,24639
1098,858,2,30,18:54:09,25.670,25670
1098,832,2,31,18:55:11,24.227,24227
1098,847,2,31,18:55:21,24.406,24406
1098,855,2,32,18:57:31,25.282,25282
1098,839,3,32,18:58:03,44.518,44518
1098,844,2,33,18:58:16,24.644,24644
1098,815,2,34,18:59:45,25.091,25091
1098,4,2,34,19:00:09,24.869,24869
1098,830,2,36,19:02:47,24.910,24910
1098,846,4,37,19:06:27,33.236,33236
1098,848,3,40,19:10:51,24.458,24458
1098,842,3,40,19:10:52,24.736,24736
1098,852,3,40,19:10:53,25.818,25818
1098,858,3,40,19:11:05,25.047,25047
1098,825,3,40,19:11:20,25.125,25125
1098,807,3,40,19:11:26,27.080,27080
1098,846,5,47,19:23:45,30.710,30710
1098,855,3,54,19:34:31,30.167,30167
1098,846,6,54,19:35:35,31.494,31494
1099,857,1,1,20:05:36,31.534,31534
1099,846,1,2,20:07:18,29.444,29444
1099,825,1,8,20:16:55,20.870,20870
1099,822,1,9,20:18:38,21.505,21505
1099,855,1,11,20:21:41,21.703,21703
1099,807,1,11,20:21:43,21.567,21567
1099,840,1,13,20:24:39,21.150,21150
1099,842,1,14,20:26:26,20.719,20719
1099,832,1,15,20:27:49,20.760,20760
1099,844,1,16,20:29:29,20.026,20026
1099,839,1,16,20:29:34,20.762,20762
1099,852,1,17,20:31:24,21.414,21414
1099,848,1,17,20:31:32,21.397,21397
1099,856,1,17,20:31:39,21.116,21116
1099,822,2,17,20:32:08,22.191,22191
1099,815,1,18,20:32:46,20.715,20715
1099,4,1,18,20:32:54,26.879,26879
1099,847,1,18,20:33:05,20.828,20828
1099,830,1,18,20:33:15,20.824,20824
1099,1,1,18,20:33:24,21.102,21102
1099,858,1,18,20:33:55,21.064,21064
1099,855,2,18,20:34:06,21.282,21282
1099,846,2,19,20:36:25,21.352,21352
1099,822,3,35,21:02:57,21.808,21808
